"TOA5","CR300Series","CR300","28930","CR300.Std.10.04","CPU:PasoAlejoLewis_v01.CR300","10470","a_HumSuel_pAlejoLew"
"TIMESTAMP","RECORD","hs_t1_20_L","hs_t1_40_L","hs_t1_60_L","hs_t2_20_L","hs_t2_40_L","hs_t2_60_L","hs_t3_20_L","hs_t3_40_L","hs_t3_60_L","hs_t4_20_L","hs_t4_40_L","hs_t4_60_L"
"TS","RN","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-10-18 21:45:00",40,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 22:00:00",41,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.362,0.363,0.411
"2022-10-18 22:15:00",42,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 22:30:00",43,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-18 22:45:00",44,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 23:00:00",45,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 23:15:00",46,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.357,0.399,0.361,0.363,0.41
"2022-10-18 23:30:00",47,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-18 23:45:00",48,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 00:00:00",49,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.398,0.361,0.363,0.41
"2022-10-19 00:15:00",50,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.361,0.363,0.411
"2022-10-19 00:30:00",51,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-19 00:45:00",52,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-19 01:00:00",53,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.357,0.399,0.361,0.362,0.41
"2022-10-19 01:15:00",54,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-19 01:30:00",55,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.357,0.399,0.362,0.363,0.41
"2022-10-19 01:45:00",56,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.398,0.362,0.363,0.41
"2022-10-19 02:00:00",57,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.411
"2022-10-19 02:15:00",58,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.357,0.399,0.361,0.363,0.41
"2022-10-19 02:30:00",59,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.357,0.398,0.361,0.363,0.41
"2022-10-19 02:45:00",60,0.251,0.291,0.323,0.32,0.4,0.421,0.329,0.358,0.398,0.361,0.362,0.41
"2022-10-19 03:00:00",61,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.363,0.411
"2022-10-19 03:15:00",62,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.357,0.399,0.362,0.363,0.41
"2022-10-19 03:30:00",63,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-19 03:45:00",64,0.251,0.291,0.322,0.321,0.4,0.421,0.329,0.358,0.398,0.361,0.362,0.41
"2022-10-19 04:00:00",65,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.357,0.398,0.361,0.362,0.41
"2022-10-19 04:15:00",66,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.357,0.399,0.361,0.362,0.411
"2022-10-19 04:30:00",67,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.398,0.361,0.362,0.41
"2022-10-19 04:45:00",68,0.251,0.291,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.411
"2022-10-19 05:00:00",69,0.251,0.291,0.322,0.321,0.4,0.421,0.329,0.357,0.399,0.362,0.362,0.41
"2022-10-19 05:15:00",70,0.251,0.291,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.361,0.363,0.411
"2022-10-19 05:30:00",71,0.251,0.291,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-19 05:45:00",72,0.251,0.291,0.322,0.321,0.4,0.421,0.329,0.357,0.398,0.361,0.363,0.41
"2022-10-19 06:00:00",73,0.251,0.291,0.322,0.321,0.4,0.421,0.329,0.357,0.399,0.362,0.363,0.41
"2022-10-19 06:15:00",74,0.251,0.291,0.322,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 06:30:00",75,0.251,0.291,0.322,0.321,0.401,0.42,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 06:45:00",76,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.357,0.399,0.362,0.363,0.41
"2022-10-19 07:00:00",77,0.251,0.291,0.323,0.32,0.401,0.42,0.329,0.357,0.399,0.362,0.362,0.411
"2022-10-19 07:15:00",78,0.251,0.291,0.322,0.321,0.4,0.42,0.329,0.358,0.398,0.361,0.363,0.41
"2022-10-19 07:30:00",79,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.357,0.399,0.361,0.363,0.41
"2022-10-19 07:45:00",80,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 08:00:00",81,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.357,0.399,0.362,0.363,0.41
"2022-10-19 08:15:00",82,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.357,0.399,0.362,0.362,0.41
"2022-10-19 08:30:00",83,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 08:45:00",84,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.357,0.399,0.362,0.362,0.411
"2022-10-19 09:00:00",85,0.251,0.291,0.323,0.32,0.401,0.42,0.329,0.357,0.399,0.361,0.363,0.41
"2022-10-19 09:15:00",86,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.357,0.399,0.362,0.362,0.41
"2022-10-19 09:30:00",87,0.251,0.291,0.323,0.32,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 09:45:00",88,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.362,0.363,0.411
"2022-10-19 10:00:00",89,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 10:15:00",90,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 10:30:00",91,0.251,0.29,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 10:45:00",92,0.251,0.29,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 11:00:00",93,0.251,0.29,0.323,0.32,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 11:15:00",94,0.251,0.29,0.323,0.32,0.4,0.421,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 11:30:00",95,0.251,0.29,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.362,0.363,0.411
"2022-10-19 11:45:00",96,0.251,0.29,0.323,0.32,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.411
"2022-10-19 12:00:00",97,0.251,0.29,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 12:15:00",98,0.251,0.29,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 12:30:00",99,0.251,0.29,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 12:45:00",100,0.251,0.29,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.411
"2022-10-19 13:00:00",101,0.251,0.29,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 13:15:00",102,0.251,0.29,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 13:30:00",103,0.251,0.29,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 13:45:00",104,0.251,0.29,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 14:00:00",105,0.251,0.29,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 14:15:00",106,0.251,0.29,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-19 14:30:00",107,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 14:45:00",108,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-19 15:00:00",109,0.251,0.29,0.322,0.321,0.401,0.42,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-19 15:15:00",110,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.41
